"","start_temp","outside_temp","SA_temp","rate"
"2325",15.2,12.6,16.7,-0.00666666666666664
"2326",15.1,12.7,16.5,-0.00666666666666664
"2327",15,12.7,16.2,-0.00666666666666664
"2329",14.9,12.7,15.8,-0.00666666666666664
"2333",14.8,12.2,15.1,-0.00666666666666676
"2334",14.7,12.3,15,-0.00666666666666664
"2335",14.6,12.2,14.8,-0.00666666666666664
"2337",14.5,12.3,14.6,-0.00666666666666664
"2338",14.4,12.1,14.5,-0.00666666666666664
"2339",14.3,12.2,14.5,-0.00666666666666676
"2340",14.2,12,14.4,-0.00666666666666664
"2342",14.1,11.7,14.2,-0.00666666666666664
"2343",14,11.7,14,-0.00666666666666664
"2350",13.9,11,13.7,-0.0133333333333334
"2353",13.7,10.7,13.4,-0.0133333333333333
"2355",13.5,10.9,13.3,0.00666666666666664
"2356",13.6,10.9,13.3,-0.00666666666666664
"2357",13.5,10.7,13.3,0.00666666666666664
"2358",13.6,10.7,13.3,-0.00666666666666664
"2359",13.5,10.5,13.3,-0.00666666666666664
"2361",20.6,17.6,21.6,-0.0266666666666668
"2362",20.2,17.9,21.1,-0.0399999999999999
"2363",19.6,17.4,21,-0.0333333333333333
"2364",19.1,17,20.9,-0.0333333333333333
"2365",18.6,16.2,20.5,-0.02
"2366",18.3,15.5,20.2,-0.02
"2367",18,15,19.9,-0.02
"2368",17.7,14.8,19.6,-0.02
"2369",17.4,14.3,19.4,-0.0199999999999998
"2370",17.1,14.1,19.1,-0.0133333333333335
"2371",16.9,14.2,18.8,-0.00666666666666652
"2372",16.8,14.2,18.5,-0.02
"2373",16.5,13.8,18.2,-0.00666666666666676
"2374",16.4,13.4,18,-0.00666666666666652
"2376",16.3,13.6,17.4,-0.0133333333333333
"2377",16.1,13.8,17.3,-0.00666666666666676
"2378",16,13.8,17,-0.00666666666666664
"2380",15.9,13.6,16.7,-0.00666666666666664
"2381",15.8,13.5,16.6,-0.00666666666666676
"2382",15.7,13.3,16.4,-0.00666666666666664
"2383",15.6,13,16.2,-0.00666666666666664
"2384",15.5,13.1,16,-0.00666666666666664
"2386",15.4,13.1,15.8,-0.00666666666666664
"2387",15.3,13.3,15.6,-0.00666666666666676
"2389",15.2,13.4,15.4,0.00666666666666676
"2393",15.3,14,15.1,0.00666666666666664
"2394",15.4,14.2,15,-0.00666666666666664
"2397",15.3,13.9,14.7,-0.00666666666666676
"2398",15.2,13.9,14.9,-0.00666666666666664
"2399",21,12.9,25.2,-0.0266666666666666
"2400",20.6,13,23.6,-0.1
"2401",19.1,12.8,23.8,-0.0933333333333335
"2402",17.7,12.9,21.6,-0.0533333333333334
"2403",16.9,12.9,20.2,-0.0399999999999999
"2404",16.3,13,19.3,-0.02
"2405",16,13,18.6,-0.02
"2406",15.7,12.9,18.1,-0.00666666666666664
"2407",15.6,12.9,17.6,-0.0133333333333333
"2408",15.4,12.9,17.2,-0.00666666666666664
"2409",15.3,12.8,16.8,-0.00666666666666676
"2410",15.2,12.6,16.7,-0.00666666666666664
"2411",15.1,12.5,16.2,-0.00666666666666664
"2412",15,12.4,15.9,-0.0133333333333333
"2415",14.8,12.3,14.8,-0.00666666666666676
"2416",14.7,12.4,14.6,-0.00666666666666664
"2417",14.6,11.9,14.5,-0.0133333333333333
"2419",14.4,11.7,14.2,-0.0133333333333334
"2421",14.2,11.6,14,-0.00666666666666664
"2422",14.1,11.2,13.9,-0.00666666666666664
"2424",14,10.9,13.7,-0.00666666666666664
"2425",13.9,11,13.7,-0.00666666666666664
"2427",13.8,11.1,13.7,-0.00666666666666676
"2428",21.1,13.9,23.3,-0.113333333333334
"2429",19.4,13.8,22.4,-0.0799999999999999
"2430",18.2,13.7,21.6,-0.0599999999999999
"2431",17.3,13.6,20.5,-0.0333333333333333
"2432",16.8,13.7,19.6,-0.02
"2433",16.5,13.6,19,-0.0133333333333333
"2434",16.3,13.6,18.6,-0.0133333333333333
